Category,Value,Radius,Color,Group,Group Mean,Color,Dummy Value,Directions
WELL CRAFTED,100,80,#119090,Focused OKRs,80,#119090,100
LEAN,100,80,#119090,0,0,#119090,0
ALIGNED,100,80,#119090,0,0,#119090,0
STRETCHY,100,20,#E7A431,Agile Culture,20,#E7A431,100
DECISIVE,100,20,#E7A431,0,0,#E7A431,0
COLLABORATIVE,100,20,#E7A431,0,0,#E7A431,0
WELL-LED,100,60,#094A5A,Actionable Cadence,60,#094A5A,100
DISCUSSED,100,60,#094A5A,0,0,#094A5A,0
INTEGRATED,100,60,#094A5A,0,0,#094A5A,0
ROBUST,100,100,#E31717,Adaptive Strategy,100,#E31717,100
DYNAMIC,100,100,#E31717,0,0,#E31717,0
MEANINGFUL,100,100,#E31717,0,0,#E31717,0 
